agency,agency_id,amended,amendment_changed_fields,amendment_no,amendment_no_printed,app_id,budget_type,category,city,closing_date,country,development_partner,district,district_original,document_price_original,document_price_taka,eligibility_amended,eligibility_categories,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_page,eligibility_published,eligibility_source_field,eligibility_substantive,evaluation_type,event_type,invitation_for,invitation_ref,inviting_officer,inviting_officer_designation,inviting_officer_id,last_selling_date,lots,method,ministry,ministry_id,notice_file,notice_pages,opening_date,package_description,package_no,payment_mode,phone,premeeting_end,premeeting_start,procurement_nature,procurement_type,procuring_entity,procuring_entity_code,procuring_entity_id,project,project_code,project_id,published_date,security_last_date,security_valid_until,source_of_funds,status,status_original,tender_id,tender_valid_until,thana,advertised_date,award_agency,award_agency_id,award_development_partner,award_district,award_file,award_for,award_invitation_ref,award_method,award_ministry,award_ministry_id,award_officer,award_officer_designation,award_officer_id,award_package_name,award_package_no,award_pages,award_procuring_entity,award_procuring_entity_code,award_procuring_entity_id,award_project,award_project_id,award_source_of_funds,award_template,beneficial_owners,bid_counts_printed,contract_description,contract_no,contract_signed_on_time,contract_value_original,contract_value_taka,noa_date,performance_security_on_time,signed_date,tenders_received,tenders_responsive,tenders_sold,winner,winner_id,winner_location,winner_page,winner_tenderer_id,work_completion_date,work_location,work_start_date,notice_document_found,award_document_found,outcome_source
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,178132,Own Fund,"Electrical machinery, apparatus, equipment and consumables; Electric motors, generators and transformers; Electricity distribution and control apparatus; Insulated wire and cable; Accumulators, primary cells and primary batteries; Lighting equipment and electric lamps; Electrical equipment and apparatus; Electronic, electromechanical and electrotechnical supplies;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Primary cells;Primary batteries;Electric accumulators;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",Dhaka,2021-10-07,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/PD_9apt/Solar._Bldg-2,Rahat Muslemin,PD (9apt),pp0003,2021-10-06,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_609656.pdf,2,2021-10-07,"Supply, Installation, Testing & Commissioning of 12 KWP Solar System for 10 Storied Apartment Building at Gulshan R/A, Road",RAJUK/PD_9apt/Solar._Bldg-2,Payment through Bank,02-9559386,2021-09-22,2021-09-16,Goods,NCT,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,Not applicable,Not applicable,pr0093,2021-09-15,2021-10-07,2022-03-04,Own Fund,Contract Awarded,Contract Awarded,609656,2022-02-04,Motijheel,2021-09-15,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_609656.pdf,Goods,RAJUK/PD_9apt/Solar._Bldg-2,OTM,Ministry of Housing and Public Works,og0001,Rahat Muslemin,PD (9apt),pp0003,"Supply, Installation, Testing & Commissioning of 12 KWP Solar System for 10 Storied Apartment Building at Gulshan R/A, Road No.- 31, Plot No-CWS(B)-28 (Building-2).",RAJUK/PD_9apt/Solar._Bldg-2,1,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Supply, Installation, Testing & Commissioning of 12 KWP Solar System for 10 Storied Apartment Building at Gulshan R/A, Road No.- 31, Plot No-CWS(B)-28 (Building-2).",RAJUK/PD_9apt/Solar._Bldg-2,yes,947996.112,947996.112,2021-12-01,yes,2021-12-29,8,4,8,M/s Anas Trading International,co0169,"37, Bir Uttam C.R. Datta Road, Nahar Plaza, Room No-1506, Dhaka-1000, Bangladesh.",1,,2022-02-27,Gulshan,2021-12-29,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,178132,Own Fund,"Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",Dhaka,2021-10-25,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/PD_9apt/Lift_Bldg-6,Rahat Muslemin,PD (9apt),pp0003,2021-10-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_614373.pdf,2,2021-10-25,"Supply, Installation, Testing, Commissioning of 01 (One) Number 800 kg (10 Passengers) Lift for Eight Storied Apartment Building",RAJUK/PD_9apt/Lift_Bldg-6,Payment through Bank,02-9559386,2021-10-11,2021-10-05,Goods,NCT,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,Not applicable,Not applicable,pr0093,2021-10-04,2021-10-24,2022-03-22,Own Fund,Contract Awarded,Contract Awarded,614373,2022-02-22,Motijheel,2021-10-04,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_614373.pdf,Goods,RAJUK/PD_9apt/Lift_Bldg-6,OTM,Ministry of Housing and Public Works,og0001,Rahat Muslemin,PD (9apt),pp0003,"Supply, Installation, Testing, Commissioning of 01 (One) Number 800 kg (10 Passengers) Lift for Eight Storied Apartment Building at Mohammadpur R/A, Babor Road, Block-B, Plot-2/15 (Building-6)",RAJUK/PD_9apt/Lift_Bldg-6,1,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Supply, Installation, Testing, Commissioning of 01 (One) Number 800 kg (10 Passengers) Lift for Eight Storied Apartment Building at Mohammadpur R/A, Babor Road, Block-B, Plot-2/15 (Building-6)",RAJUK/PD_9apt/Lift_Bldg-6,yes,4498200.356,4498200.356,2021-12-19,yes,2022-01-13,1,1,3,Concept Elevators & Engineering Ltd.,co0042,"Reg. Office: 656, Road-14, Baitul Aman Housing Society Adabor, Mohammadpur, Dhaka-1207",1,,2022-06-16,Mohammadpur,2022-01-16,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,178132,Own Fund,"Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",Dhaka,2021-10-25,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/PD_9apt/Gen-S/S._Bldg-6,Rahat Muslemin,PD (9apt),pp0003,2021-10-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_614620.pdf,2,2021-10-25,"Supply, Installation, Testing Commissioning of 1(One) Number 200KVA Sub-Station & 40 KVA Generator for Eight storied",RAJUK/PD_9apt/Gen-S/S._Bldg-6,Payment through Bank,02-9559386,2021-10-11,2021-10-05,Goods,NCT,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,Not applicable,Not applicable,pr0093,2021-10-04,2021-10-24,2022-03-22,Own Fund,Contract Awarded,Contract Awarded,614620,2022-02-22,Motijheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,178132,Own Fund,"Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",Dhaka,2021-10-25,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/PD_9apt/Solar_Bldg-6,Rahat Muslemin,PD (9apt),pp0003,2021-10-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_615021.pdf,2,2021-10-25,"Supply, Installation, Testing & Commissioning of 5 KWP Solar System for Eight Storied Apartment Building at Mohammadpur R/A,",RAJUK/PD_9apt/Solar_Bldg-6,Payment through Bank,02-9559386,2021-10-11,2021-10-05,Goods,NCT,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,Not applicable,Not applicable,pr0093,2021-10-04,2021-10-24,2022-03-22,Own Fund,Contract Awarded,Contract Awarded,615021,2022-02-22,Motijheel,2021-10-04,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_615021.pdf,Goods,RAJUK/PD_9apt/Solar_Bldg-6,OTM,Ministry of Housing and Public Works,og0001,Rahat Muslemin,PD (9apt),pp0003,"Supply, Installation, Testing & Commissioning of 5 KWP Solar System for Eight Storied Apartment Building at Mohammadpur R/A, Babor Road, Block-B, Plot-2/15 (Building-6)",RAJUK/PD_9apt/Solar_Bldg-6,1,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Supply, Installation, Testing & Commissioning of 5 KWP Solar System for Eight Storied Apartment Building at Mohammadpur R/A, Babor Road, Block-B, Plot-2/15 (Building-6)",RAJUK/PD_9apt/Solar_Bldg-6,yes,295000.105,295000.105,2021-12-19,yes,2022-01-12,7,3,11,M/s Anas Trading International,co0169,"37, Bir Uttam C.R. Datta Road, Nahar Plaza, Room No-1506, Dhaka-1000, Bangladesh.",1,,2022-03-13,Mohammadpur,2022-01-12,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,176799,Own Fund,"Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;",Dhaka,2021-10-28,Bangladesh,,Dhaka,Dhaka,2000,2000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,U3P-02/2021-2022,MD. HAFIZUL ISLAM,PD (Uttara 3rd Phase),pp0108,2021-10-27,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_615572.pdf,2,2021-10-28,Repair and Renovation Work of Lake Drive Road no 06 (west side of lake no-11) Including Surface Pucca Drain and Barbed Wire Fencing around Green Belt at Sector 16 of Uttara Residential Model Town (3rd Phase) Project.,PD_U3P/2,Payment through Bank,02-9563605,2021-10-14,2021-10-05,Works,NCT,Uttara 3rd Phase Project,,og0063,Uttara Residential Model Town (3rd Phase),5-3205-3111-UMT,pr0035,2021-10-04,2021-10-28,2022-02-23,Own fund,Contract Awarded,Contract Awarded,615572,2022-01-26,Motijheel,2021-10-04,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_615572.pdf,Works,U3P-02/2021-2022,OTM,Ministry of Housing and Public Works,og0001,MD. HAFIZUL ISLAM,PD (Uttara 3rd Phase),pp0108,Repair and Renovation Work of Lake Drive Road no 06 (west side of lake no-11) Including Surface Pucca Drain and Barbed Wire Fancy around Green Belt at Sector 16 of Uttara Residential Model Town (3rd Phase) Project.,PD_U3P/2,1,Uttara 3rd Phase Project,,og0063,Uttara Residential Model Town (3rd Phase),pr0035,Own Fund Own fund,supplier,0,yes,Repair and Renovation Work of Lake Drive Road no 06 (west side of lake no-11) Including Surface Pucca Drain and Barbed Wire Fancy around Green Belt at Sector 16 of Uttara Residential Model Town (3rd Phase) Project.,U3P-02/2021-2022,yes,29216449.314,29216449.314,2021-11-23,yes,2021-12-21,8,6,9,"M/S SHAFIQUE AND SONS - M/S. AMIN TRADING CORPORATION JV ( JVCA Partners [Business Share]: M/S. AMIN TRADING CORPORATION [25.000%] , M/s Shafique and Sons [75.000%] )",co0216,"Cha-72/1, Progoti Sarani, Uttar Badda, Dhaka-1212",1,,2022-05-10,Uttara 3rd Phase Project,2022-01-10,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,179660,Own Fund,Building construction work; Works for complete or part construction and civil engineering work;,Dhaka,2021-10-28,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,Rajuk/PD_Purbachal/68,Ujjwal Mallick,Project Director,pp0099,2021-10-27,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_616291.pdf,1,2021-10-28,"Construction of Remaining Internal Road and Surface Drain at Sector no-21(part) of Purbachal New Town Project (Package-RDC- 21, Lot-3).",Rajuk/PD_Purbachal/68,Payment through Bank,02-9554969,2021-10-14,2021-10-04,Works,NCT,Purbachal New Town Project,,og0015,Purbachal New town Project,5-3205-3111-PURBACHAL,pr0009,2021-10-03,2021-10-28,2022-02-23,Own fund,Rejected,Rejected,616291,2022-01-26,Motijheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,179660,Own Fund,Engineering works and construction works; Works for complete or part construction and civil engineering work;,Dhaka,2021-10-28,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,Rajuk/PD_Purbachal/69,Ujjwal Mallick,Project Director,pp0099,2021-10-27,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_616292.pdf,1,2021-10-28,"Construction of Internal RCC Road & Surface Drain at Sector No-20 (part) of Purbachal New Town Project (RDC-20, Lot No-3).",Rajuk/PD_Purbachal/69,Payment through Bank,02-9554969,2021-10-14,2021-10-04,Works,NCT,Purbachal New Town Project,,og0015,Purbachal New town Project,5-3205-3111-PURBACHAL,pr0009,2021-10-03,2021-10-28,2022-02-23,Own fund,Rejected,Rejected,616292,2022-01-26,Motijheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,179660,Own Fund,Engineering works and construction works; Works for complete or part construction and civil engineering work;,Dhaka,2021-10-28,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,Rajuk/PD_Purbachal/70,Ujjwal Mallick,Project Director,pp0099,2021-10-27,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_616293.pdf,1,2021-10-28,"Electrification work of 02 (two) Storied Progati High Building with 06 (Six) Storied Foundation work in the Plot No-43, Road No-102 in Sector No-03 of Purbachal New Town Project.",Rajuk/PD_Purbachal/70,Payment through Bank,02-9554969,2021-10-14,2021-10-04,Works,NCT,Purbachal New Town Project,,og0015,Purbachal New town Project,5-3205-3111-PURBACHAL,pr0009,2021-10-03,2021-10-28,2022-02-23,Own fund,Contract Awarded,Contract Awarded,616293,2022-01-26,Motijheel,2021-10-03,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_616293.pdf,Works,Rajuk/PD_Purbachal/70,OTM,Ministry of Housing and Public Works,og0001,Ujjwal Mallick,Project Director,pp0099,"Electrification work of 02 (two) Storied Progati High Building with 06 (Six) Storied Foundation work in the Plot No-43, Road No-102 in Sector No-03 of Purbachal New Town Project.",Rajuk/PD_Purbachal/70,1,Purbachal New Town Project,,og0015,Purbachal New town Project,pr0009,Own Fund Own fund,supplier,0,yes,"Electrification work of 02 (two) Storied Progati High Building with 06 (Six) Storied Foundation work in the Plot No-43, Road No-102 in Sector No-03 of Purbachal New Town Project.",Rajuk/PD_Purbachal/70,yes,3463421.400,3463421.4,2022-01-26,yes,2022-02-23,5,1,5,M/S. Sharif & Sons,co0017,"Eastern Arzoo, Suite No: 11/08, 61, Bijoynagar, Dhaka-1000.",1,,2022-06-14,Purbachal New Town project,2022-04-04,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,179660,Own Fund,Engineering works and construction works; Works for complete or part construction and civil engineering work;,Dhaka,2021-10-28,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,Rajuk/PD_Purbachal/71,Ujjwal Mallick,Project Director,pp0099,2021-10-27,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_616294.pdf,1,2021-10-28,"Electrification work of 02 (two) storied Purbachal Palkhan High School Bhaban with 06 (Six) Storied foundation work in the Plot No.-8, Road No.-301 in Sector-30 of Purbachal New Town Project.",Rajuk/PD_Purbachal/71,Payment through Bank,02-9554969,2021-10-14,2021-10-04,Works,NCT,Purbachal New Town Project,,og0015,Purbachal New town Project,5-3205-3111-PURBACHAL,pr0009,2021-10-03,2021-10-28,2022-02-23,Own fund,Contract Awarded,Contract Awarded,616294,2022-01-26,Motijheel,2021-10-03,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_616294.pdf,Works,Rajuk/PD_Purbachal/71,OTM,Ministry of Housing and Public Works,og0001,Ujjwal Mallick,Project Director,pp0099,"Electrification work of 02 (two) storied Purbachal Palkhan High School Bhaban with 06 (Six) Storied foundation work in the Plot No.-8, Road No.-301 in Sector-30 of Purbachal New Town Project.",Rajuk/PD_Purbachal/71,1,Purbachal New Town Project,,og0015,Purbachal New town Project,pr0009,Own Fund Own fund,supplier,0,yes,"Electrification work of 02 (two) storied Purbachal Palkhan High School Bhaban with 06 (Six) Storied foundation work in the Plot No.-8, Road No.-301 in Sector-30 of Purbachal New Town Project.",Rajuk/PD_Purbachal/71,yes,3463421.400,3463421.4,2022-01-26,yes,2022-02-23,4,1,4,M/S Sunny Construction,co0053,"58/Cha/1,Tejturi Bazar Chak,West Razabazar,Dhaka-1215",1,,2022-08-23,Purbachal New Town project,2022-02-23,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,176874,Own Fund,Engineering works and construction works; Works for complete or part construction and civil engineering work;,Dhaka,2021-11-22,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,SE/CC-1/HQ/W-01/2021-2022,Mohammad Muzaffar Uddin,Superintending Engineer,pp0004,2021-11-21,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_619039.pdf,1,2021-11-22,Painting Works for the Outside Wall of RAJUK Main Building and Auditorium with some Cleaning works.,SE/CC-1/HQ/W-01,Payment through Bank,02-9568383,2021-11-14,2021-11-04,Works,NCT,Superintending Engineer (Civil Circle-1),,og0007,Not applicable,Not applicable,pr0093,2021-11-04,2021-11-22,2022-03-20,Own Fund,,,619039,2022-02-20,Motijheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,176874,Own Fund,Engineering works and construction works; Works for complete or part construction and civil engineering work;,Dhaka,2021-11-22,Bangladesh,,Dhaka,Dhaka,1000,1000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,SE/CC-1/HQ/W-02/2021-2022,Mohammad Muzaffar Uddin,Superintending Engineer,pp0004,2021-11-21,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_620619.pdf,2,2021-11-22,"Renovation Works ( Plaster, Door, Window, Sanitary fittings, Painting and other Civil works) in the Building allotted for Drivers (Building No.10) at RAJUK Malibagh Officers' Quarter Area.",SE/CC-1/HQ/W-02,Payment through Bank,02-9568383,2021-11-15,2021-11-04,Works,NCT,Superintending Engineer (Civil Circle-1),,og0007,Not applicable,Not applicable,pr0093,2021-11-04,2021-11-22,2022-03-20,Own Fund,Contract Awarded,Contract Awarded,620619,2022-02-20,Motijheel,2021-11-04,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_620619.pdf,Works,SE/CC-1/HQ/W-02/2021-2022,OTM,Ministry of Housing and Public Works,og0001,Mohammad Muzaffar Uddin,Superintending Engineer,pp0004,"Renovation Works ( Plaster, Door, Window, Sanitary fittings, Painting and other Civil works) in the Building allotted for Drivers (Building No.10) at RAJUK Malibagh Officers' Quarter Area.",SE/CC-1/HQ/W-02,1,Superintending Engineer (Civil Circle-1),,og0007,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Renovation Works ( Plaster, Door, Window, Sanitary fittings, Painting and other Civil works) in the Building allotted for Drivers (Building No.10) at RAJUK Malibagh Officers' Quarter Area.",SE/CC-1/HQ/W-02/2021-2022,yes,3045193.803,3045193.803,2022-02-09,yes,2022-02-24,5,5,7,M/S. A. R. Enterprise,co0016,"House-08, Road-02, Diyabari, Uttara, Dhaka-1230 Contact No:01935968075, 01707568905",1,,2022-05-23,RAJUK Malibagh Officers Quarter,2022-02-24,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,177988,Own Fund,"Electric motors, generators and transformers; Electrical machinery, apparatus, equipment and consumables;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers",Dhaka,2021-11-30,Bangladesh,,Dhaka,Dhaka,1000,1000,no,cert_bin;cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;financial_credit;financial_liquid;geographic;other,1213,8,a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,Rajuk/Electrical-2/21/G-01,Md. Julfiker Ali Khan,Sup. Eng. (Elec.),pp0104,2021-11-29,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_622539.pdf,2,2021-11-30,"Supply, Installation, Testing & Commissioning of 100 KVA Generator and Related Works for Rajuk Zonal Office in Uttara.",Rajuk/Electrical-2/21/G-01,Payment through Bank,02-9552663,2021-11-18,2021-11-09,Goods,NCT,Office of the Superintending Engineer (Electrical),,og0011,Electro_Mechanical Equipment Purchage,RJK_ELEC_10,pr0075,2021-11-09,2021-11-30,2022-04-27,Own fund,Contract Awarded,Contract Awarded,622539,2022-03-30,Motijheel,2021-11-09,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_622539.pdf,Goods,Rajuk/Electrical-2/21/G-01,OTM,Ministry of Housing and Public Works,og0001,mohammad nazmus sakib jamali,Sup. Eng. (Elec.),pp0007,"Supply, Installation, Testing & Commissioning of 100 KVA Generator and Related Works for Rajuk Zonal Office in Uttara.",Rajuk/Electrical-2/21/G-01,1,Office of the Superintending Engineer (Electrical),,og0011,Electro_Mechanical Equipment Purchage,pr0075,Own Fund Own fund,supplier,0,yes,"Supply, Installation, Testing & Commissioning of 100 KVA Generator and Related Works for Rajuk Zonal Office in Uttara.",25.39.0000.064.07.012.2018,yes,3097300.590,3097300.59,2022-03-27,yes,2022-04-17,3,2,4,M/S TANIN ENTERPRISE,co0041,"150 MOTIJHEEL, NAHAR MANSION 3RD FLOOR, C/A DHAKA.",1,,2022-07-17,Zonal Office in Uttara,2022-04-17,yes,yes,award notice
